start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
102.136.49.128,102.136.49.255,102.136.0.0,San-Pédro,Bas-Sassandra,CI,4.74851,-6.6363,,Africa/Abidjan
101.65.201.8,101.65.201.27,101.65.0.0,Wenzhou,Zhejiang,CN,27.99942,120.66682,,Asia/Shanghai
1.42.110.112,1.42.110.179,1.42.0.0,Sydney,New South Wales,AU,-33.87995,151.1835,2037,Australia/Sydney
101.177.8.248,101.177.8.255,101.177.0.0,Redlynch,Queensland,AU,-16.9254,145.69559,4870,Australia/Brisbane
101.108.169.76,101.108.169.79,101.108.0.0,Prachuap Khiri Khan,Prachuap Khiri Khan,TH,11.82098,99.7841,77000,Asia/Bangkok
105.206.255.160,105.206.255.199,105.206.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
105.105.206.68,105.105.206.71,105.105.0.0,Tébessa,Tébessa,DZ,35.6485,8.2618,12008,Africa/Algiers
105.46.42.192,105.46.42.255,105.46.0.0,Fāraskūr,Damietta,EG,31.32977,31.71507,,Africa/Cairo
101.249.73.7,101.249.73.7,101.249.0.0,Bayi,Tibet,CN,29.65812,94.35892,,Asia/Shanghai
104.28.69.15,104.28.69.24,104.28.0.0,San Jose,California,US,37.33939,-121.89496,95103,America/Los_Angeles
101.58.129.40,101.58.129.41,101.58.0.0,Genoa,Liguria,IT,44.40478,8.94439,16100,Europe/Rome
101.137.0.228,101.137.0.229,101.137.0.0,Taipei,Taiwan,TW,25.04776,121.53185,,Asia/Taipei
1.69.63.144,1.69.63.147,1.69.0.0,Shanxi,Hunan,CN,28.03167,110.95444,,Asia/Shanghai
105.251.162.128,105.251.162.135,105.251.0.0,Port Elizabeth,Eastern Cape,ZA,-33.9,25.6,6200,Africa/Johannesburg
105.196.155.76,105.196.155.77,105.196.0.0,Al Qūşīyah,Asyut,EG,27.44023,30.81712,,Africa/Cairo
103.234.215.0,103.234.215.255,103.234.0.0,Mumbai,Maharashtra,IN,19.07283,72.88261,400070,Asia/Kolkata
1.49.192.56,1.49.192.56,1.49.0.0,Chengdu,Sichuan,CN,30.66667,104.06667,,Asia/Shanghai
101.71.108.8,101.71.108.15,101.71.0.0,Panshan,Liaoning,CN,41.18806,122.04944,,Asia/Shanghai
104.28.133.252,104.28.133.255,104.28.0.0,Louisville,Kentucky,US,38.25424,-85.75941,40259,America/Kentucky/Louisville
101.108.113.128,101.108.123.255,101.108.0.0,Bangkok,Bangkok,TH,13.75398,100.50144,10200,Asia/Bangkok
101.173.67.240,101.173.67.255,101.173.0.0,Melbourne,Victoria,AU,-37.814,144.96332,3000,Australia/Melbourne
101.20.9.10,101.20.9.47,101.20.0.0,Shenyang,Liaoning,CN,41.79222,123.43278,,Asia/Shanghai
1.72.196.128,1.72.196.151,1.72.0.0,Nagoya,Aichi,JP,35.18147,136.90641,460-0002,Asia/Tokyo
